rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66030034,30–34 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,5240,7608
2010,Z,66030034,30–34 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,4184,6173
2010,Z,66030034,30–34 let,CZ020B,Příbram,CZ020,Středočeský kraj,2865,4496
2010,Z,66030034,30–34 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1399,2200
2010,Z,66030034,30–34 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,5180,7975
2010,Z,66030034,30–34 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1478,2434
2010,Z,66030034,30–34 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,2162,3624
2010,Z,66030034,30–34 let,CZ0314,Písek,CZ031,Jihočeský kraj,1584,2724
2010,Z,66030034,30–34 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,1188,2032
2010,Z,66030034,30–34 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1621,2776
2010,Z,66030034,30–34 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2739,3974
2010,Z,66030034,30–34 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1560,2415
2010,Z,66030034,30–34 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1799,3324
2010,Z,66030034,30–34 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,4607,7933
2010,Z,66030034,30–34 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1525,2451
2010,Z,66030034,30–34 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,2113,3223
2010,Z,66030034,30–34 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1164,1812
2010,Z,66030034,30–34 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1225,1986
2010,Z,66030034,30–34 let,CZ0411,Cheb,CZ041,Karlovarský kraj,2100,3923
