rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni,populace
2012,Z,66025029,25–29 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,2007,2506
2012,Z,66025029,25–29 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2720,3440
2012,Z,66025029,25–29 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,2124,2595
2012,Z,66025029,25–29 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2988,3661
2012,Z,66025029,25–29 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2793,3366
2012,Z,66025029,25–29 let,CZ0532,Pardubice,CZ053,Pardubický kraj,4986,5566
2012,Z,66025029,25–29 let,CZ0533,Svitavy,CZ053,Pardubický kraj,2569,3248
2012,Z,66025029,25–29 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,3503,4380
2012,Z,66025029,25–29 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,2520,3103
2012,Z,66025029,25–29 let,CZ0632,Jihlava,CZ063,Vysočina,3051,3646
2012,Z,66025029,25–29 let,CZ0633,Pelhřimov,CZ063,Vysočina,1849,2288
2012,Z,66025029,25–29 let,CZ0634,Třebíč,CZ063,Vysočina,2918,3673
2012,Z,66025029,25–29 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,3067,3838
2012,Z,66025029,25–29 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,2950,3486
2012,Z,66025029,25–29 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,12135,13328
2012,Z,66025029,25–29 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,6386,6687
2012,Z,66025029,25–29 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,3264,3819
2012,Z,66025029,25–29 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,3607,5111
2012,Z,66025029,25–29 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,2693,2984
2012,Z,66025029,25–29 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,3176,3774
2012,Z,66025029,25–29 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,842,1216
2012,Z,66025029,25–29 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,7025,7824
2012,Z,66025029,25–29 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2959,3507
2012,Z,66025029,25–29 let,CZ0714,Přerov,CZ071,Olomoucký kraj,3402,4291
2012,Z,66025029,25–29 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,3154,3785
2012,Z,66025029,25–29 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,2842,3448
2012,Z,66025029,25–29 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,3852,4683
2012,Z,66025029,25–29 let,CZ0723,Vsetín,CZ072,Zlínský kraj,3513,4762
2012,Z,66025029,25–29 let,CZ0724,Zlín,CZ072,Zlínský kraj,5132,6134
2012,Z,66025029,25–29 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,2339,3009
2012,Z,66025029,25–29 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,5617,6818
2012,Z,66025029,25–29 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,4789,8697
2012,Z,66025029,25–29 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,3772,4930
2012,Z,66025029,25–29 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,4696,5899
2012,Z,66025029,25–29 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,8401,10996
2012,Z,66030034,30–34 let,CZ0100,Praha,CZ010,Hlavní město Praha,45354,56008
2012,Z,66030034,30–34 let,CZ0201,Benešov,CZ020,Středočeský kraj,3098,3589
2012,Z,66030034,30–34 let,CZ0202,Beroun,CZ020,Středočeský kraj,3295,3631
2012,Z,66030034,30–34 let,CZ0203,Kladno,CZ020,Středočeský kraj,5454,6178
2012,Z,66030034,30–34 let,CZ0204,Kolín,CZ020,Středočeský kraj,3240,3749
2012,Z,66030034,30–34 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,2261,2598
2012,Z,66030034,30–34 let,CZ0206,Mělník,CZ020,Středočeský kraj,3488,3978
2012,Z,66030034,30–34 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,4423,4989
2012,Z,66030034,30–34 let,CZ0208,Nymburk,CZ020,Středočeský kraj,3522,3983
2012,Z,66030034,30–34 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,6878,7197
2012,Z,66030034,30–34 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,5423,5660
2012,Z,66030034,30–34 let,CZ020B,Příbram,CZ020,Středočeský kraj,3593,4180
2012,Z,66030034,30–34 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1696,2017
2012,Z,66030034,30–34 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,6436,7236
2012,Z,66030034,30–34 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1949,2260
2012,Z,66030034,30–34 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,2754,3260
2012,Z,66030034,30–34 let,CZ0314,Písek,CZ031,Jihočeský kraj,2092,2417
2012,Z,66030034,30–34 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,1509,1824
2012,Z,66030034,30–34 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,2175,2484
2012,Z,66030034,30–34 let,CZ0317,Tábor,CZ031,Jihočeský kraj,3262,3626
2012,Z,66030034,30–34 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1760,2093
2012,Z,66030034,30–34 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,2367,2887
2012,Z,66030034,30–34 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,6163,7365
2012,Z,66030034,30–34 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1929,2222
2012,Z,66030034,30–34 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,2584,2886
2012,Z,66030034,30–34 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1498,1719
2012,Z,66030034,30–34 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1507,1813
2012,Z,66030034,30–34 let,CZ0411,Cheb,CZ041,Karlovarský kraj,2457,3256
2012,Z,66030034,30–34 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,3232,4091
2012,Z,66030034,30–34 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,2458,3056
2012,Z,66030034,30–34 let,CZ0421,Děčín,CZ042,Ústecký kraj,3561,4493
2012,Z,66030034,30–34 let,CZ0422,Chomutov,CZ042,Ústecký kraj,3666,4560
2012,Z,66030034,30–34 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,3880,4430
2012,Z,66030034,30–34 let,CZ0424,Louny,CZ042,Ústecký kraj,2484,3094
2012,Z,66030034,30–34 let,CZ0425,Most,CZ042,Ústecký kraj,3115,3964
2012,Z,66030034,30–34 let,CZ0426,Teplice,CZ042,Ústecký kraj,3484,4480
2012,Z,66030034,30–34 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,3760,4419
2012,Z,66030034,30–34 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,3216,3807
2012,Z,66030034,30–34 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,2888,3339
2012,Z,66030034,30–34 let,CZ0513,Liberec,CZ051,Liberecký kraj,5504,6372
2012,Z,66030034,30–34 let,CZ0514,Semily,CZ051,Liberecký kraj,2161,2520
2012,Z,66030034,30–34 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,5248,5927
2012,Z,66030034,30–34 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,2358,2726
2012,Z,66030034,30–34 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,3133,3676
2012,Z,66030034,30–34 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,2387,2732
2012,Z,66030034,30–34 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,3437,4067
