rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni
2010,Z,66025029,25–29 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,9055
2010,Z,66025029,25–29 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,5037
2010,Z,66025029,25–29 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2417
2010,Z,66025029,25–29 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,2542
2010,Z,66025029,25–29 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,1963
2010,Z,66025029,25–29 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,2407
2010,Z,66025029,25–29 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,522
2010,Z,66025029,25–29 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,5390
2010,Z,66025029,25–29 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2403
2010,Z,66025029,25–29 let,CZ0714,Přerov,CZ071,Olomoucký kraj,2321
2010,Z,66025029,25–29 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,2280
2010,Z,66025029,25–29 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,2085
2010,Z,66025029,25–29 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,2834
2010,Z,66025029,25–29 let,CZ0723,Vsetín,CZ072,Zlínský kraj,2539
2010,Z,66025029,25–29 let,CZ0724,Zlín,CZ072,Zlínský kraj,3928
2010,Z,66025029,25–29 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1670
2010,Z,66025029,25–29 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,3835
2010,Z,66025029,25–29 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,2228
2010,Z,66025029,25–29 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,2652
2010,Z,66025029,25–29 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,3211
2010,Z,66025029,25–29 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,5314
2010,Z,66030034,30–34 let,CZ0100,Praha,CZ010,Hlavní město Praha,32534
2010,Z,66030034,30–34 let,CZ0201,Benešov,CZ020,Středočeský kraj,2457
2010,Z,66030034,30–34 let,CZ0202,Beroun,CZ020,Středočeský kraj,2526
2010,Z,66030034,30–34 let,CZ0203,Kladno,CZ020,Středočeský kraj,4505
2010,Z,66030034,30–34 let,CZ0204,Kolín,CZ020,Středočeský kraj,2660
2010,Z,66030034,30–34 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1810
2010,Z,66030034,30–34 let,CZ0206,Mělník,CZ020,Středočeský kraj,2684
2010,Z,66030034,30–34 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,3951
2010,Z,66030034,30–34 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2777
2010,Z,66030034,30–34 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,5388
2010,Z,66030034,30–34 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,4291
2010,Z,66030034,30–34 let,CZ020B,Příbram,CZ020,Středočeský kraj,2915
2010,Z,66030034,30–34 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1444
2010,Z,66030034,30–34 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,5374
2010,Z,66030034,30–34 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1523
2010,Z,66030034,30–34 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,2196
2010,Z,66030034,30–34 let,CZ0314,Písek,CZ031,Jihočeský kraj,1621
2010,Z,66030034,30–34 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,1224
2010,Z,66030034,30–34 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1681
2010,Z,66030034,30–34 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2934
2010,Z,66030034,30–34 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1600
2010,Z,66030034,30–34 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1858
2010,Z,66030034,30–34 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,4758
2010,Z,66030034,30–34 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1557
2010,Z,66030034,30–34 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,2170
2010,Z,66030034,30–34 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1208
2010,Z,66030034,30–34 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1273
2010,Z,66030034,30–34 let,CZ0411,Cheb,CZ041,Karlovarský kraj,2173
2010,Z,66030034,30–34 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,2536
2010,Z,66030034,30–34 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1957
2010,Z,66030034,30–34 let,CZ0421,Děčín,CZ042,Ústecký kraj,2752
2010,Z,66030034,30–34 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2938
2010,Z,66030034,30–34 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,3104
2010,Z,66030034,30–34 let,CZ0424,Louny,CZ042,Ústecký kraj,1930
2010,Z,66030034,30–34 let,CZ0425,Most,CZ042,Ústecký kraj,2527
2010,Z,66030034,30–34 let,CZ0426,Teplice,CZ042,Ústecký kraj,2657
2010,Z,66030034,30–34 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2805
2010,Z,66030034,30–34 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2724
2010,Z,66030034,30–34 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,2383
2010,Z,66030034,30–34 let,CZ0513,Liberec,CZ051,Liberecký kraj,4390
2010,Z,66030034,30–34 let,CZ0514,Semily,CZ051,Liberecký kraj,1864
2010,Z,66030034,30–34 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,4334
2010,Z,66030034,30–34 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,2038
2010,Z,66030034,30–34 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2804
2010,Z,66030034,30–34 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,2056
2010,Z,66030034,30–34 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2946
2010,Z,66030034,30–34 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2759
2010,Z,66030034,30–34 let,CZ0532,Pardubice,CZ053,Pardubický kraj,4825
2010,Z,66030034,30–34 let,CZ0533,Svitavy,CZ053,Pardubický kraj,2492
2010,Z,66030034,30–34 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,3465
2010,Z,66030034,30–34 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,2184
2010,Z,66030034,30–34 let,CZ0632,Jihlava,CZ063,Vysočina,2914
2010,Z,66030034,30–34 let,CZ0633,Pelhřimov,CZ063,Vysočina,1636
2010,Z,66030034,30–34 let,CZ0634,Třebíč,CZ063,Vysočina,2665
