"Ukazatel","IndicatorType","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Poskytovatel zdravotní péče-Úroveň 1","HP.HPU1","Poskytovatel zdravotní péče-Úroveň 2","HP.HPU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2020","2020","493.39914"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2021","2021","309.56803"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Zahraniční poskytovatelé","HP9","","","Česko","CZ","2022","2022","653.6552083"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2010","2010","4060.177224"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2011","2011","3518.702789"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2012","2012","3521.713222"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2013","2013","3831.669479"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2014","2014","3638.521264"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2015","2015","3879.14106"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2016","2016","4214.159889"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2017","2017","4190.548071"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2018","2018","5317.522248"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2019","2019","6321.074887"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2020","2020","19561.41002"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2021","2021","19144.84364"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní nebo jinde nezařazené","HPUNK","","","Česko","CZ","2022","2022","17475.4944"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2010","2010","113810.0059"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2011","2011","115045.094"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2012","2012","117405.0065"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2013","2013","117008.9143"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2014","2014","125318.3901"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2015","2015","129037.4837"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2016","2016","135292.8865"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2017","2017","142447.5285"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2018","2018","154233.2411"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2019","2019","168333.6979"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2020","2020","210469.0967"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2021","2021","230259.2056"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Všeobecné nemocnice","HP11","Česko","CZ","2022","2022","243654.0621"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Psychiatrické nemocnice","HP12","Česko","CZ","2010","2010","4356.66291"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Psychiatrické nemocnice","HP12","Česko","CZ","2011","2011","4454.392244"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Nemocnice","HP1","Psychiatrické nemocnice","HP12","Česko","CZ","2012","2012","4499.713091"
