"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66020000.0,"20–24 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",1748.0
"2010","Z",66020000.0,"20–24 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",3641.0
"2010","Z",66020000.0,"20–24 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",2353.0
"2010","Z",66020000.0,"20–24 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",2582.0
"2010","Z",66020000.0,"20–24 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",3158.0
"2010","Z",66020000.0,"20–24 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",5566.0
"2010","Z",66025000.0,"25–29 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",28214.0
"2010","Z",66025000.0,"25–29 let","CZ0201","Benesov","CZ020","Stredocesky kraj",2041.0
"2010","Z",66025000.0,"25–29 let","CZ0202","Beroun","CZ020","Stredocesky kraj",2064.0
"2010","Z",66025000.0,"25–29 let","CZ0203","Kladno","CZ020","Stredocesky kraj",3627.0
"2010","Z",66025000.0,"25–29 let","CZ0204","Kolin","CZ020","Stredocesky kraj",2140.0
"2010","Z",66025000.0,"25–29 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",1554.0
"2010","Z",66025000.0,"25–29 let","CZ0206","Melnik","CZ020","Stredocesky kraj",2249.0
"2010","Z",66025000.0,"25–29 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",3023.0
"2010","Z",66025000.0,"25–29 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",2109.0
"2010","Z",66025000.0,"25–29 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",3898.0
"2010","Z",66025000.0,"25–29 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",3139.0
"2010","Z",66025000.0,"25–29 let","CZ020B","Pribram","CZ020","Stredocesky kraj",2369.0
"2010","Z",66025000.0,"25–29 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",1182.0
"2010","Z",66025000.0,"25–29 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",4528.0
"2010","Z",66025000.0,"25–29 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",1357.0
"2010","Z",66025000.0,"25–29 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1867.0
"2010","Z",66025000.0,"25–29 let","CZ0314","Pisek","CZ031","Jihocesky kraj",1331.0
"2010","Z",66025000.0,"25–29 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",990.0
"2010","Z",66025000.0,"25–29 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",1434.0
"2010","Z",66025000.0,"25–29 let","CZ0317","Tabor","CZ031","Jihocesky kraj",2429.0
"2010","Z",66025000.0,"25–29 let","CZ0321","Domazlice","CZ032","Plzensky kraj",1160.0
"2010","Z",66025000.0,"25–29 let","CZ0322","Klatovy","CZ032","Plzensky kraj",1533.0
"2010","Z",66025000.0,"25–29 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",4208.0
"2010","Z",66025000.0,"25–29 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",1286.0
"2010","Z",66025000.0,"25–29 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",1724.0
"2010","Z",66025000.0,"25–29 let","CZ0326","Rokycany","CZ032","Plzensky kraj",1081.0
"2010","Z",66025000.0,"25–29 let","CZ0327","Tachov","CZ032","Plzensky kraj",1071.0
"2010","Z",66025000.0,"25–29 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",1540.0
"2010","Z",66025000.0,"25–29 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1995.0
"2010","Z",66025000.0,"25–29 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",1719.0
"2010","Z",66025000.0,"25–29 let","CZ0421","Decin","CZ042","Ustecky kraj",2249.0
"2010","Z",66025000.0,"25–29 let","CZ0422","Chomutov","CZ042","Ustecky kraj",2459.0
"2010","Z",66025000.0,"25–29 let","CZ0423","Litomerice","CZ042","Ustecky kraj",2384.0
"2010","Z",66025000.0,"25–29 let","CZ0424","Louny","CZ042","Ustecky kraj",1607.0
"2010","Z",66025000.0,"25–29 let","CZ0425","Most","CZ042","Ustecky kraj",2128.0
"2010","Z",66025000.0,"25–29 let","CZ0426","Teplice","CZ042","Ustecky kraj",2118.0
"2010","Z",66025000.0,"25–29 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",2390.0
"2010","Z",66025000.0,"25–29 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",2233.0
"2010","Z",66025000.0,"25–29 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1910.0
"2010","Z",66025000.0,"25–29 let","CZ0513","Liberec","CZ051","Liberecky kraj",3614.0
"2010","Z",66025000.0,"25–29 let","CZ0514","Semily","CZ051","Liberecky kraj",1407.0
"2010","Z",66025000.0,"25–29 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",3635.0
"2010","Z",66025000.0,"25–29 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",1699.0
"2010","Z",66025000.0,"25–29 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",2146.0
"2010","Z",66025000.0,"25–29 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",1638.0
"2010","Z",66025000.0,"25–29 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",2222.0
"2010","Z",66025000.0,"25–29 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",2238.0
